Week,Category,Price,Spec
47,3,11.49080645,Sole
48,3,11.4,Sole
49,3,12.4595,Sole
50,3,12.48709459,Sole
51,3,14.27015152,Sole
52,3,14.97192308,Sole
0,4,14.39361702,Sole
1,4,10.5629078,Sole
2,4,9.889909091,Sole
3,4,9.814336283,Sole
4,4,10.81397959,Sole
5,4,11.1976699,Sole
6,4,10.83844444,Sole
7,4,9.864273504,Sole
8,4,10.50017241,Sole
9,4,10.37604651,Sole
10,4,10.92371681,Sole
11,4,9.70375,Sole
12,4,9.546618705,Sole
13,4,9.601103448,Sole
14,4,9.385818182,Sole
15,4,8.756907895,Sole
16,4,8.213741935,Sole
17,4,8.544829932,Sole
18,4,8.956823529,Sole
19,4,10.0219084,Sole
20,4,10.73092715,Sole
21,4,10.1166129,Sole
22,4,10.72675862,Sole
23,4,9.885410959,Sole
24,4,9.900479042,Sole
25,4,9.58925,Sole
26,4,9.487385621,Sole
27,4,10.07621118,Sole
28,4,10.04302817,Sole
29,4,9.64829932,Sole
30,4,9.652881356,Sole
31,4,8.852074074,Sole
32,4,8.178502994,Sole
33,4,7.830759494,Sole
34,4,8.113575758,Sole
35,4,8.522787879,Sole
36,4,8.491022727,Sole
37,4,8.370292683,Sole
38,4,7.869388889,Sole
39,4,8.215692308,Sole
40,4,8.479079755,Sole
41,4,8.113705584,Sole
42,4,7.821158537,Sole
43,4,8.410930233,Sole
44,4,8.580228571,Sole
45,4,8.576358025,Sole
46,4,8.252763158,Sole
47,4,7.903548387,Sole
48,4,8.443161765,Sole
49,4,8.922089552,Sole
50,4,8.613741007,Sole
51,4,8.922571429,Sole
52,4,11.13464286,Sole
0,5,9.558636364,Sole
1,5,7.985342466,Sole
2,5,8.294676259,Sole
3,5,8.071395349,Sole
4,5,8.71,Sole
5,5,9.257132353,Sole
6,5,9.29824,Sole
7,5,8.878689655,Sole
8,5,9.533956835,Sole
9,5,9.300985915,Sole
10,5,9.33038961,Sole
11,5,8.527643678,Sole
12,5,8.518787879,Sole
13,5,8.280619048,Sole
14,5,7.805684211,Sole
15,5,7.651358696,Sole
16,5,7.077169811,Sole
17,5,7.226644737,Sole
18,5,7.286105263,Sole
19,5,7.994581006,Sole
20,5,8.27265,Sole
21,5,7.90520202,Sole
22,5,8.084044944,Sole
23,5,7.602830189,Sole
24,5,7.313095238,Sole
25,5,7.201189189,Sole
26,5,7.34862069,Sole
27,5,7.356346154,Sole
28,5,7.089365079,Sole
29,5,7.2446,Sole
30,5,6.923068783,Sole
31,5,6.87638191,Sole
32,5,6.703691589,Sole
33,5,6.487130802,Sole
34,5,6.635533597,Sole
35,5,6.728487395,Sole
36,5,6.937235023,Sole
37,5,7.094549356,Sole
38,5,6.897238494,Sole
39,5,6.383411215,Sole
40,5,6.669681818,Sole
41,5,6.611959799,Sole
42,5,6.636883721,Sole
43,5,6.685957447,Sole
44,5,6.883956044,Sole
45,5,6.620430108,Sole
46,5,6.833763441,Sole
47,5,6.665032258,Sole
48,5,6.796687898,Sole
49,5,6.680384615,Sole
50,5,6.893032258,Sole
51,5,7.042840909,Sole
52,5,7.768292683,Sole
0,0,13.0925,Brill
1,0,7.734210526,Brill
2,0,7.407857143,Brill
3,0,7.766,Brill
4,0,8.475789474,Brill
5,0,8.4565,Brill
6,0,9.848125,Brill
7,0,10.69928571,Brill
8,0,9.336521739,Brill
9,0,9.92826087,Brill
10,0,10.21823529,Brill
